captured_utc,slug,start_utc,seconds_before_start,down_token,best_bid,best_ask,spread,avg_fill_price,filled_notional_usd,filled_shares,levels_used,min_order_size,tick_size,last_trade_price,error
"2026-06-21T20:26:05.0073299+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",234.993,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:06.3905270+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",233.609,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:07.4920472+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",232.508,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:08.6000416+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",231.4,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:09.6947618+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",230.305,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:10.7821213+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",229.218,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:11.8735213+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",228.126,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:13.0237897+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",226.976,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:14.1843173+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",225.816,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:15.2821071+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",224.718,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:16.4111158+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",223.589,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:17.5267820+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",222.473,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:18.6188422+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",221.381,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:19.6940956+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",220.306,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:20.7825925+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",219.217,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:21.8759139+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",218.124,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:23.0266212+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",216.973,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:24.1059355+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",215.894,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:25.2031021+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",214.797,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:26.2817775+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",213.718,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:27.3718576+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",212.628,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:28.4616520+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",211.538,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:29.5564479+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",210.444,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:30.6567299+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",209.343,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:31.7684401+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",208.232,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:32.9044356+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",207.096,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:33.9897957+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",206.01,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:35.0963690+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",204.904,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:36.1752309+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",203.825,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:37.2669257+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",202.733,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:38.3516028+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",201.648,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:39.4558966+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",200.544,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:40.5518029+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",199.448,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:41.6337638+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",198.366,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:42.7199461+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",197.28,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:43.8041624+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",196.196,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
"2026-06-21T20:26:44.8879906+00:00","eth-updown-5m-1782073800","2026-06-21T20:30:00.0000000+00:00",195.112,"6616421992774380394650108076835734627195892463760932036959274644332964219737",0.49,0.5,0.01,0.5,6.0093,12.0186,1,5,0.01,0.5,""
