source,seq,market,asset,side,due_at,snapshot_at_utc,age_seconds,token,level,price,size,notional_usd
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,1,0.8,212,169.60000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,2,0.81,37,29.97000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,3,0.82,12,9.84000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,4,0.83,7,5.81000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,5,0.84,35,29.40000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,6,0.85,1640,1394.00000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,7,0.86,20,17.20000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,8,0.87,67,58.29000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,9,0.88,67,58.96000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,10,0.89,22,19.58000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,11,0.9,2887,2598.30000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,12,0.91,627,570.57000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,13,0.92,547,503.24000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,14,0.93,747,694.71000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,15,0.94,828.32,778.62080000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,16,0.95,605,574.75000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,17,0.96,975,936.00000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,18,0.97,11045,10713.65000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,19,0.98,1045,1024.10000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,21925770833974737139138639512325561429556177005596897245092128519682313660777,20,0.99,10331,10227.69000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,1,0.8,100.9,80.72000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,2,0.81,22,17.82000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,3,0.82,27,22.14000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,4,0.83,22,18.26000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,5,0.84,22,18.48000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,6,0.85,107.33,91.23050000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,7,0.86,42,36.12000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,8,0.87,37,32.19000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,9,0.88,64,56.32000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,10,0.89,30,26.70000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,11,0.9,345.58,311.02200000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,12,0.91,600,546.00000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,13,0.92,600,552.00000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,14,0.93,600,558.00000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,15,0.94,675,634.50000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,16,0.95,965,916.75000000
server_paper_live_shadow_stored_asks,1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,85364723077627985913999648197729752340530596663666422984806727219478934435126,17,0.96,675,648.00000000
